,text_id
0,5068377
1,1597194
2,6295736
3,6993046
4,5788279
5,1726484
6,4967492
7,2551007
8,1333604
9,8865416
10,6850976
11,1313640
12,7902603
13,1761288
14,4015657
15,5199285
16,8486230
17,5603710
18,1505092
19,4482856
20,3877248
21,3132646
22,1474142
23,1190794
24,5540366
25,9793629
26,6730339
27,8479778
28,9244728
29,6890392
30,8705239
31,3051030
32,9528839
33,8424654
34,9300257
35,4111943
36,6381754
37,9329144
38,6687154
39,4859264
40,5310485
41,4114886
42,8952064
43,7690782
44,2404270
45,1251600
46,8925028
47,7429540
48,4179300
49,3447986
50,3981939
51,7355696
52,2313045
53,5662041
54,4337843
55,9234427
56,4084975
57,4945246
58,7379935
59,1570488
60,6155663
61,1869016
62,9833317
63,5394752
64,1203590
65,3084142
66,4164580
67,5588748
68,5033136
69,1050413
70,8121022
71,4899536
72,1522623
73,3378050
74,4145514
75,1083787
76,5215195
77,9063915
78,9137204
79,9978851
80,6424178
81,1646250
82,3657678
83,7430329
84,8848423
85,3327548
86,2739235
87,2418994
88,3249258
89,2620267
90,7947642
91,1942396
92,7800989
93,2279507
94,2622433
95,8402434
96,9115812
97,8684447
98,3733815
99,3856543
100,2245049
101,7196232
102,1488854
103,2551504
104,7625561
105,7313656
106,2612980
107,7371547
108,5193760
109,7480549
110,5482923
111,3158393
112,2582941
113,6579855
114,6108686
115,4368863
116,3948763
117,4641368
118,9326706
119,7469272
120,6510643
121,8323241
122,5026234
123,3850678
124,5107070
125,9562774
126,5117320
127,2599166
128,9115003
129,3104265
130,1627594
131,3575696
132,7272268
133,9726850
134,3805407
135,8814014
136,1579313
137,5265631
138,8542363
139,4787627
140,7045528
141,3083116
142,3317322
143,3273170
144,9996084
145,6927822
146,4141747
147,6532226
148,8909854
149,4473430
150,7531087
151,4338518
152,3762645
153,2007660
154,6063144
155,1883775
156,9878358
157,1994828
158,2816368
159,8998289
160,3120051
161,6812840
162,9963288
163,5013527
164,5160047
165,4103700
166,8087812
167,2491856
168,9646771
169,7198755
170,2232858
171,9321858
172,6507166
173,9511354
174,8551426
175,3292580
176,7027919
177,4608520
178,7647474
179,9529553
180,9743876
181,3220855
182,6694776
183,9071877
184,8853261
185,8418840
186,4147466
187,8315185
188,2750933
189,7353490
190,4976530
191,4972689
192,1894685
193,7982890
194,8666657
195,1407699
196,2704689
197,9023961
198,4952514
199,8446262
200,6516673
201,7558865
202,2522338
203,5379639
204,6030204
205,2016485
206,9884507
207,4815516
208,8755283
209,6273263
210,1448949
211,3164463
212,9937414
213,2843591
214,5924733
215,7262334
216,5668707
217,7433591
218,9112338
219,5118107
220,5224335
221,7962633
222,3450789
223,2585237
224,1314299
225,4813424
226,9214883
227,5478670
228,5743244
229,7222957
230,1551661
231,2590176
232,4271787
233,4182188
234,4979848
235,7402210
236,9482349
237,1728018
238,4843680
239,7043615
240,6772835
241,6490186
242,1330268
243,1490767
244,5000157
245,8005789
246,7392962
247,5408473
248,8897043
249,1517379
250,8279775
251,5703445
252,3627745
253,6085483
254,3880204
255,5924692
256,9384258
257,6501086
258,9556590
259,1698113
260,7713827
261,1751547
262,4310879
263,1717864
264,3989365
265,9766296
266,2072607
267,3656364
268,7734440
269,3053078
270,3994270
271,7504855
272,4035688
273,3237155
274,5376865
275,6712749
276,9224902
277,9116967
278,7909631
279,1373018
280,8682724
281,6512312
282,5571742
283,9802455
284,9083783
285,1322251
286,5741008
287,6109118
288,3340419
289,7141055
290,1574835
291,9349081
292,8353632
293,8482954
294,4209287
295,2145165
296,1303286
297,6725580
298,5278532
299,6165087
300,5046676
301,7199735
302,6613608
303,4344223
304,1920718
305,4680158
306,7915843
307,5229676
308,6034386
309,5746136
310,2768053
311,9853341
312,8859758
313,6784474
314,2705071
315,1211883
316,5619071
317,9194737
318,5085303
319,1836371
320,9748136
321,4830266
322,6420887
323,7043090
324,7517580
325,2055720
326,2827742
327,7700044
328,4141045
329,1764194
330,4011818
331,6544568
332,8703478
333,7772912
334,6594347
335,7734508
336,5757897
337,7015066
338,6795690
339,6978973
340,1826134
341,4038783
342,8847841
343,5320204
344,3094559
345,9127923
346,7503086
347,4255536
348,3085238
349,9340048
350,1362547
351,4271471
352,1271391
353,5853336
354,8490902
355,7761483
356,6063000
357,3179538
358,1757474
359,2468613
360,8160495
361,5858471
362,8596200
363,5922938
364,1706743
365,9202692
366,9785765
367,4033930
368,4417303
369,6149409
370,7656247
371,3072074
372,9138092
373,6802508
374,2394118
375,8580096
376,3428346
377,8967215
378,8675887
379,4376372
380,4002871
381,7135126
382,4783159
383,8535407
384,9816656
385,5787109
386,5664428
387,4902650
388,8691120
389,9486520
390,5849639
391,3582679
392,1163193
393,9461407
394,8674808
395,4682589
396,7492342
397,4051484
398,9835391
399,7949584
400,1372876
401,5755231
402,2502632
403,7735789
404,6491057
405,3249456
406,8628406
407,3314316
408,9537476
409,5088285
410,4990837
411,7778822
412,2379055
413,7198838
414,9115851
415,9632957
416,1322417
417,9268630
418,8223491
419,7568247
420,4539220
421,1021615
422,7807816
423,6000494
424,3129710
425,3542650
426,3898368
427,1471460
428,6786040
429,3895720
430,5192307
431,6839485
432,9977837
433,1353241
434,1616371
435,9727697
436,7910781
437,1121544
438,2369020
439,8522625
440,5131997
441,3470127
442,1155699
443,5395465
444,5829437
445,9996177
446,9906323
447,7346810
448,8505422
449,6997653
450,7186726
451,5292075
452,2121316
453,5949099
454,5931900
455,3538683
456,9617311
457,2831727
458,7702497
459,2154710
460,5521509
461,7261974
462,7313000
463,8277976
464,2722389
465,5117528
466,4290196
467,3437202
468,1523058
469,8500220
470,7531614
471,4061228
472,5194513
473,7211716
474,9122350
475,7664958
476,2847118
477,3384100
478,7458399
479,3260853
480,4233432
481,1986457
482,4858403
483,5835684
484,1380796
485,3081370
486,5140601
487,9218262
488,3190061
489,4039670
490,3360565
491,4790816
492,8963059
493,5070862
494,7155854
495,2658769
496,7571784
497,9106903
498,1010734
499,8669212
500,7822600
501,6812816
502,7457262
503,8699342
504,6835356
505,6376700
506,8612444
507,4958370
508,4058895
509,3607479
510,2535188
511,3223734
512,4212467
513,2983195
514,3478093
515,1669843
516,7825903
517,2920117
518,7302573
519,5058978
520,5776029
521,3906207
522,6108540
523,7555563
524,8213911
525,3218034
526,6687882
527,7758662
528,9458550
529,1479552
530,8275769
531,1733852
